gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
5154687547	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/279437572	Plantae	Tracheophyta	Liliopsida	Asparagales	Asphodelaceae	Aloe	Aloe claviflora		SPECIES	Aloe claviflora Burch.	Aloe claviflora		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.263973	21.307576	244.0						2023-09-06T13:13	6	9	2023	2777226	2777226	HUMAN_OBSERVATION	iNaturalist	Observations	279437572		Dale Holder	2025-05-08T11:34:53	CC0_1_0	Dale Holder	Dale Holder			2025-06-25T06:53:10.827Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5154360213	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/279437568	Plantae	Tracheophyta	Liliopsida	Asparagales	Asphodelaceae	Aloidendron	Aloidendron dichotomum		SPECIES	Aloidendron dichotomum (Masson) Klopper & Gideon F.Sm.	Aloidendron dichotomum		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.30783	21.363532	29508.0						2023-04-13T13:13	13	4	2023	9485745	9485745	HUMAN_OBSERVATION	iNaturalist	Observations	279437568		Dale Holder	2025-05-08T11:34:52	CC0_1_0	Dale Holder	Dale Holder			2025-06-25T04:48:14.679Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5154285590	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188398494	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Capparaceae	Boscia	Boscia albitrunca		SPECIES	Boscia albitrunca (Burch.) Gilg & Gilg-Ben.	Boscia albitrunca		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.300163	21.253862	10.0						2023-08-19T12:45	19	8	2023	5602556	5602556	HUMAN_OBSERVATION	iNaturalist	Observations	188398494		Craig Peter	2023-10-21T16:53:33	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:34.153Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5154158573	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188398488	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Capparaceae	Boscia	Boscia albitrunca		SPECIES	Boscia albitrunca (Burch.) Gilg & Gilg-Ben.	Boscia albitrunca		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.296078	21.26201	10.0						2023-08-19T12:44	19	8	2023	5602556	5602556	HUMAN_OBSERVATION	iNaturalist	Observations	188398488		Craig Peter	2023-10-21T16:53:31	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:38.348Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5153917401	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/279437560	Plantae	Tracheophyta	Liliopsida	Asparagales	Asphodelaceae	Aloidendron	Aloidendron dichotomum		SPECIES	Aloidendron dichotomum (Masson) Klopper & Gideon F.Sm.	Aloidendron dichotomum		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.392498	21.341246	29508.0						2023-08-23T10:37	23	8	2023	9485745	9485745	HUMAN_OBSERVATION	iNaturalist	Observations	279437560		Dale Holder	2025-05-08T11:34:50	CC0_1_0	Dale Holder	Dale Holder			2025-06-25T06:53:14.054Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5153575526	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188398491	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Capparaceae	Boscia	Boscia albitrunca		SPECIES	Boscia albitrunca (Burch.) Gilg & Gilg-Ben.	Boscia albitrunca		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.297659	21.258819	10.0						2023-08-19T12:45	19	8	2023	5602556	5602556	HUMAN_OBSERVATION	iNaturalist	Observations	188398491		Craig Peter	2023-10-21T16:53:32	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:36.408Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5153544588	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367388	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Capparaceae	Boscia	Boscia albitrunca		SPECIES	Boscia albitrunca (Burch.) Gilg & Gilg-Ben.	Boscia albitrunca		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.286163	21.146227	10.0						2023-08-19T13:06	19	8	2023	5602556	5602556	HUMAN_OBSERVATION	iNaturalist	Observations	188367388		Craig Peter	2023-10-21T11:46:50	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T06:35:40.601Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5153537549	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188398456	Plantae	Tracheophyta	Magnoliopsida	Brassicales	Capparaceae	Boscia	Boscia albitrunca		SPECIES	Boscia albitrunca (Burch.) Gilg & Gilg-Ben.	Boscia albitrunca		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.276537	21.401222	10.0						2023-08-19T12:32	19	8	2023	5602556	5602556	HUMAN_OBSERVATION	iNaturalist	Observations	188398456		Craig Peter	2023-10-21T16:53:21	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T03:29:07.528Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5153334811	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/279437559	Plantae	Tracheophyta	Liliopsida	Asparagales	Asphodelaceae	Aloidendron	Aloidendron dichotomum		SPECIES	Aloidendron dichotomum (Masson) Klopper & Gideon F.Sm.	Aloidendron dichotomum		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.309916	21.304166	29508.0						2023-08-23T09:58	23	8	2023	9485745	9485745	HUMAN_OBSERVATION	iNaturalist	Observations	279437559		Dale Holder	2025-05-08T11:34:50	CC0_1_0	Dale Holder	Dale Holder			2025-06-25T04:48:12.825Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
5087035376	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/182199205	Plantae	Tracheophyta	Magnoliopsida	Lamiales	Verbenaceae	Chascanum	Chascanum garipense		SPECIES	Chascanum garipense E.Mey.	Chascanum garipense		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.487389	20.797328	19.0						2023-04-19T10:48	19	4	2023	4085798	4085798	HUMAN_OBSERVATION	iNaturalist	Observations	182199205		tarryn_m	2023-09-07T15:55:08	CC_BY_NC_4_0	tarryn_m	tarryn_m			2025-06-25T01:58:54.193Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4953164505	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188398578	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.318906	21.155447	10.0						2023-08-19T13:02	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188398578		Craig Peter	2023-10-21T16:53:56	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T01:59:56.049Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4953091315	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367374	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.31007	21.156739	10.0						2023-08-19T13:03	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367374		Craig Peter	2023-10-21T11:46:44	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T01:59:53.078Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952952980	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188163126	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.00735	20.754264	10.0						2023-08-19T14:00	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188163126		Craig Peter	2023-10-19T17:50:13	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T01:59:49.606Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952936554	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367408	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.280829	21.12615	10.0						2023-08-19T13:07	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367408		Craig Peter	2023-10-21T11:46:53	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T03:29:07.982Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952933408	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188163106	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.024783	20.770947	10.0						2023-08-19T13:58	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188163106		Craig Peter	2023-10-19T17:50:02	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:36.585Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952865169	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188163066	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.08624	20.808685	10.0						2023-08-19T13:39	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188163066		Craig Peter	2023-10-19T17:49:47	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T02:37:49.002Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952782941	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188163065	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.087548	20.809104	10.0						2023-08-19T13:39	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188163065		Craig Peter	2023-10-19T17:49:47	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T02:37:42.170Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952679490	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367438	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.268443	21.084367	10.0						2023-08-19T13:11	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367438		Craig Peter	2023-10-21T11:47:03	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:40.860Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952678340	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367458	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.259811	21.060072	10.0						2023-08-19T13:13	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367458		Craig Peter	2023-10-21T11:47:13	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:38.303Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952666758	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367428	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.27373	21.101941	10.0						2023-08-19T13:10	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367428		Craig Peter	2023-10-21T11:47:00	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:38.975Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952665562	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367446	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.263471	21.070381	10.0						2023-08-19T13:12	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367446		Craig Peter	2023-10-21T11:47:07	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:35.206Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952663042	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367377	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.298643	21.158441	10.0						2023-08-19T13:03	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367377		Craig Peter	2023-10-21T11:46:46	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T01:59:52.086Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952655430	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367416	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.278316	21.11744	10.0						2023-08-19T13:08	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367416		Craig Peter	2023-10-21T11:46:55	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:37.540Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952655429	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367399	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.28263	21.132842	10.0						2023-08-19T13:07	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367399		Craig Peter	2023-10-21T11:46:51	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T02:36:48.740Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952655426	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188163111	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.019039	20.766198	10.0						2023-08-19T13:59	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188163111		Craig Peter	2023-10-19T17:50:04	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T05:34:07.922Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
4952650278	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/188367441	Plantae	Tracheophyta	Magnoliopsida	Fabales	Fabaceae	Vachellia	Vachellia erioloba		SPECIES	Vachellia erioloba (E.Mey.) P.J.H.Hurter	Vachellia erioloba		ZA		Northern Cape	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-29.264966	21.074576	10.0						2023-08-19T13:12	19	8	2023	3974776	3974776	HUMAN_OBSERVATION	iNaturalist	Observations	188367441		Craig Peter	2023-10-21T11:47:05	CC_BY_NC_4_0	Craig Peter	Craig Peter			2025-06-25T04:27:37.419Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_ID_IGNORED
